StudyID,AgeGroups_1,AgeGroups_2,AgeGroups_3,AgeGroups_4,Age,Gender,Gender_4_TEXT,Latin_0,Latin_888,Latin_1,Latin_2,Latin_3,Latin_4,Latin_5,Latin_6,Latin_7,Latin_8,Latin_9,Latin_10,Latin_11,Latin_12,Latin_13,Latin_14,Latin_15,Latin_16,Latin_17,Latin_18,Latin_19,Latin_20,Latin_21,Latin_22,Latin_23,Latin_24,Latin_25,Latin_26,Latin_27,Latin_28,Latin_29,Latin_30,Latin_31,Latin_32,Latin_33,Latin_34,Latin_35,Latin_36,Latin_37,Latin_38,Latin_39,Latin_40,Latin_41,Latin_999,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_8,Race_9,Race_10,Race_11,Race_12,Race_13,Race_14,Race_15,Race_16,Race_17,Race_18,Race_19,Race_20,Race_21,Race_22,Race_23,Race_24,Race_999,Immigrant,Refugee,Community,Community_6_TEXT,School,Income,Country,State,COPE_01_Positive,COPE_02_MentalDis,COPE_03_Venting,COPE_04_InstrumentalSup,COPE_05_Active,COPE_06_Denial,COPE_07_Religious,COPE_08_Humor,COPE_09_BehavioralDis,COPE_10_Restraint,COPE_11_EmotionalSup,COPE_12_Substance,COPE_13_Acceptance,COPE_14_InstrumentalSup,COPE_15_Suppression,COPE_16_MentalDis,COPE_17_Venting,COPE_18_Religious,COPE_19_Planning,COPE_20_Humor,COPE_21_Acceptance,COPE_22_Restraint,COPE_23_EmotionalSup,COPE_24_BehavioralDis,COPE_25_Active,COPE_26_Substance,COPE_27_Denial,COPE_28_Venting,COPE_29_Positive,COPE_30_InstrumentalSup,COPE_31_MentalDis,COPE_32_Planning,COPE_33_Suppression,COPE_34_EmotionalSup,COPE_35_Substance,COPE_36_Humor,COPE_37_BehavioralDis,COPE_38_Positive,COPE_39_Planning,COPE_40_Denial,COPE_41_Restraint,COPE_42_Suppression,COPE_43_MentalDis,Instructed_1,COPE_44_Acceptance,COPE_45_InstrumentalSup,COPE_46_Venting,COPE_47_Active,COPE_48_Religious,COPE_49_Restraint,COPE_50_Humor,COPE_51_BehavioralDis,COPE_52_EmotionalSup,COPE_53_Substance,COPE_54_Acceptance,COPE_55_Suppression,COPE_56_Planning,COPE_57_Denial,COPE_58_Active,COPE_59_Positive,COPE_60_Religious,CFS_01_JB,CFS_02_JB,CFS_03_ST,CFS_04_JB,CFS_05_ST,CFS_06_JB,CFS_07_JB,CFS_08_ST,Instructed_2,CFS_09_JB,CFS_10_ST,CFS_11_JB,CFS_12_ST,CFS_13_JB,COPE_Positive,COPE_MentalDis,COPE_Venting,COPE_InstrumentalSup,COPE_Active,COPE_Denial,COPE_Religious,COPE_Humor,COPE_BehavioralDis,COPE_Restraint,COPE_EmotionalSup,COPE_Substance,COPE_Acceptance,COPE_Suppression,COPE_Planning,CFS,CFS_SecondaryTrauma,CFS_JobBurnout,CFS_ln,CFS_SecondaryTrauma_ln,CFS_JobBurnout_ln
1, , , , ,62,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,999,2, ,4,3,84, ,3,2,2,1,1,1,2,4,2,4,3,1,4,2,2,2,3,2,3,3,4,4,1,2,2,1,1,3,4,2,1,3,2,1,1,2,2,1,4,1,4,4,3,5,4,2,1,2,1,4,3,2,1,1,4,2,2,1,4,4,2,7,5,3,2,1,1,3,1,21,5,2,1,2,2,12,8,9,7,9,4,7,12,8,16,6,4,16,10,12,2.69230769230769,1.8,3.25,.990398704027877,.587786664902119,1.17865499634165
2, , , , ,50,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,9,6,187,36,4,2,2,2,2,1,1,3,1,1,3,1,2,3,2,1,2,1,3,3,2,3,3,1,2,1,1,3,3,2,2,2,2,2,1,3,1,3,3,1,2,2,1,4,2,2,2,2,1,1,2,2,3,1,2,2,2,1,2,4,1,1,1,1,1,1,4,4,2,11,4,2,1,1,2,14,6,9,9,8,4,4,11,5,7,11,4,8,8,9,1.92307692307692,1.4,2.25,.653926467406664,.336472236621213,.810930216216329
3, , , , ,32,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,5,187,24,3,4,3,2,4,1,1,2,1,1,4,1,4,3,3,2,4,1,4,2,4,1,4,1,4,1,1,3,3,4,1,4,4,3,1,1,1,2,3,1,3,3,2,4,4,3,3,4,1,1,1,1,4,1,3,3,4,1,4,3,1,7,2,2,2,1,2,3,3,11,3,2,5,2,2,11,9,13,12,16,4,4,6,4,6,15,4,15,13,15,2.76923076923077,2,3.25,1.01856958099457,.693147180559945,1.17865499634165
4, , , , ,50,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,999,187,33,4,4,3,4,3,4,1,4,2,3,4,2,3,4,4,4,4,1,3,3,3,3,3,4,3,2,2,3,3,3,1,3,3,3,2,3,3,3,4,3,4,2,4,4,3,4,2,2,1,3,3,2,4,1,3,3,4,1,3,4,2,2,10,1,7,1,4,7,4,11,2,1,5,2,6,14,13,12,15,11,10,5,13,11,13,14,7,12,12,14,4,1.8,5.375,1.38629436111989,.587786664902119,1.68175857401373
5, , , , ,35,3, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,8,4,187,51,4,4,1,2,2,4,3,2,2,4,4,4,1,3,4,4,2,3,4,2,2,4,1,2,4,4,3,1,1,3,4,4,3,1,4,2,2,1,3,4,4,4,2,4,2,2,1,3,3,3,2,2,2,4,2,3,4,2,2,4,3,7,10,9,10,9,9,6,9,11,2,6,1,1,2,10,14,5,10,11,12,12,8,8,15,8,12,7,14,15,6.23076923076923,6.8,5.875,1.8294997972109,1.91692261218206,1.77070606003022
6, , , , ,62,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,4,65, ,3,2,1,3,4,2,1,2,2,1,3,1,2,3,2,2,4,1,4,1,3,2,4,3,4,1,2,1,3,4,2,4,4,4,1,1,2,4,4,1,3,3,2,3,4,4,3,4,1,2,1,2,4,1,2,3,4,1,4,4,1,4,3,1,1,2,2,7,4,11,4,1,1,1,1,14,8,9,14,16,6,4,5,9,8,15,4,11,12,16,2.46153846153846,1.8,2.875,.90078654533819,.587786664902119,1.05605267424931
7, , , , ,41,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,0,0,3, ,8,1,111, ,4,3,1,3,4,3,2,3,3,2,4,1,2,4,2,1,4,2,4,3,2,2,4,2,4,1,1,3,4,4,1,4,3,4,1,3,1,4,4,1,3,3,1,5,4,4,3,1,1,3,3,1,4,1,4,3,4,1,4,4,1,8,2,4,2,1,1,3,5,21,1,3,4,2,1,16,6,11,15,13,6,6,12,7,10,16,4,12,11,16,2.84615384615385,3,2.75,1.04596855518269,1.09861228866811,1.01160091167848
8, , , , ,52,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,2,187,11,4,2,3,4,4,1,5,2,1,4,4,1,4,4,3,3,3,5,2,2,4,4,4,1,3,1,1,4,3,4,4,4,3,4,1,2,1,3,4,1,4,3,3,5,4,4,4,3,5,1,1,2,4,1,3,3,4,1,4,4,5,3,3,1,1,1,1,3,1,11,1,1,4,1,1,14,12,14,16,14,4, ,7,5,13,16,4,15,12,16,1.69230769230769,1,2.125,.526093095896779,0,.75377180237638
9, , , , ,36,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1,0,3, ,9,3,83, ,4,3,2,2,3,1,1,2,2,3,3,2,3,3,3,2,3,1,4,2,2,1,3,1,3,2,1,3,4,3,2,4,3,3,2,2,1,4,4,1,2,3,2,4,1,2,3,4,1,3,2,1,2,2,2,2,4,1,4,4,1,7,5,6,3,1,7,4,7,11,3,5,7,1,5,16,9,11,10,14,4,4,8,5,9,11,8,8,11,16,4.69230769230769,4,5.125,1.54592450671177,1.38629436111989,1.63413052502447
10, , , , ,47,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,3,187,24,4,3,3,2,4,1,1,2,1,1,3,1,4,3,2,1,4,1,4,2,4,2,3,1,2,1,1,4,2,3,2,4,4,3,1,1,1,3,4,1,2,3,2,4,4,3,3,2,1,2,1,1,4,1,4,3,3,1,4,4,1,8,7,3,2,1,6,8,2,11,8,1,3,1,1,13,8,14,11,12,4,4,6,4,7,13,4,16,12,15,3.92307692307692,1.6,5.375,1.36687627526279,.470003629245736,1.68175857401373
